"","number","city","state","longi","latti"
"1",225,"HOUSTON","TX",-95.3698028,29.7604267
"2",136,"AUSTIN","TX",-97.7430608,30.267153
"3",70,"DALLAS","TX",-96.7969879,32.7766642
"4",33,"SANANTONIO","TX",-98.4936282,29.4241219
"5",26,"BOSTON","MA",-71.0588801,42.3600825
"6",22,"LASVEGAS","NV",-115.1398296,36.1699412
"7",12,"KATY","TX",-95.8243956,29.7857853
"8",11,"COLLEGESTATION","TX",-96.3344068,30.627977
"9",10,"BEAUMONT","TX",-94.1265562,30.080174
"10",10,"FORTWORTH","TX",-97.3307658,32.7554883
"11",10,"PLANO","TX",-96.6988856,33.0198431
"12",10,"SPRING","TX",-118.2472414,34.0507778
"13",10,"SUGARLAND","TX",-95.6367633,29.603623
"14",9,"ARLINGTON","TX",-97.1080656,32.735687
"15",8,"NEWORLEANS","LA",-90.0715323,29.9510658
"16",7,"CORPUSCHRISTI","TX",-97.396381,27.8005828
"17",7,"FRAMINGHAM","MA",-71.4161565,42.279286
"18",6,"PEARLAND","TX",-95.2860474,29.5635666
"19",6,"TOMBALL","TX",-95.6160549,30.0971621
"20",6,"BATONROUGE","LA",-91.1403196,30.4582829
"21",5,"DENTON","TX",-97.1330683,33.2148412
"22",5,"LUBBOCK","TX",-101.8551665,33.5778631
"23",5,"THEWOODLANDS","TX",-95.4612625,30.1658207
"24",4,"IRVING","TX",-96.9488945,32.8140177
"25",4,"KILLEEN","TX",-97.7277959,31.1171194
"26",4,"MCKINNEY","TX",-96.6397822,33.1972465
"27",3,"AMARILLO","TX",-101.8312969,35.2219971
"28",3,"BAYTOWN","TX",-94.9774274,29.7355047
"29",3,"CYPRESS","TX",-118.0368507,33.8169366
"30",3,"ELPASO","TX",-106.4850217,31.7618778
"31",3,"FRISCO","TX",-96.8236116,33.1506744
"32",3,"MIDLAND","TX",-84.2472116,43.6155825
"33",3,"PASADENA","TX",-118.1445155,34.1477849
"34",3,"PORTARTHUR","TX",-93.939947,29.8849504
"35",3,"ROUNDROCK","TX",-97.678896,30.5082551
"36",3,"STAFFORD","TX",-77.4083086,38.4220687
"37",3,"TYLER","TX",-95.3010624,32.3512601
"38",3,"VICTORIA","TX",-97.0035982,28.8052674
"39",3,"AMHERST","MA",-72.5170028,42.3709104
"40",3,"NORTHLASVEGAS","NV",-115.1175013,36.1988592
"41",3,"RENO","NV",-119.8138027,39.5296329
"42",2,"BALCHSPRINGS","TX",-96.6227714,32.7287413
"43",2,"GRANDPRAIRIE","TX",-96.9977846,32.7459645
"44",2,"HOUSTONAREA","TX",-95.3984696,29.7570353
"45",2,"HUMBLE","TX",-95.2621553,29.9988312
"46",2,"KELLER","TX",-97.229298,32.9341893
"47",2,"KINGWOOD","TX",-95.1902986,30.0575359
"48",2,"LEAGUECITY","TX",-95.0949303,29.5074538
"49",2,"MANSFIELD","TX",-97.1416768,32.5631924
"50",2,"MANVEL","TX",-95.357994,29.4627365
"51",2,"MCALLEN","TX",-98.2300124,26.2034071
"52",2,"MOUNTVERNON","TX",-77.0861753,38.707982
"53",2,"PHARR","TX",-98.1836216,26.1947962
"54",2,"PORTLAND","TX",-122.6764815,45.5230622
"55",2,"RICHARDSON","TX",-96.7298519,32.9483335
"56",2,"RICHMOND","TX",-77.4360481,37.5407246
"57",2,"RIOGRANDEVALLEY","TX",-97.486664,25.893722
"58",2,"SANANGELO","TX",-100.4370375,31.4637723
"59",2,"SANMARCOS","TX",-97.9413941,29.8832749
"60",2,"WACO","TX",-97.1466695,31.549333
"61",2,"LAFAYETTE","LA",-122.1180201,37.8857582
"62",2,"SHREVEPORT","LA",-93.7501789,32.5251516
"63",2,"LAWRENCE","MA",-71.1631137,42.7070354
"64",2,"WALTHAM","MA",-71.2356113,42.3764852
"65",2,"WORCESTER","MA",-71.8022934,42.2625932
"66",1,"1130HAMPTONSANANTONIO","TX",-98.4406433,29.4012295
"67",1,"1521S.4THSTREETWACO","TX",-97.1173712,31.5454675
"68",1,"216NORTHMAINSTREETBUDA","TX",-97.8427962,30.0824782
"69",1,"75040","TX",-96.6317461,32.9368872
"70",1,"ALVIN","TX",-95.2441009,29.4238472
"71",1,"ARANSASPASS","TX",-97.1499898,27.9094677
"72",1,"ARGYLE","TX",-97.1833475,33.1212321
"73",1,"AUSTNVILLE","TX",-80.9120233,36.8512342
"74",1,"BLACKLANDPRAIRIEREGION","TX",-97.6225214,30.4989739
"75",1,"BONHAM","TX",-96.1783111,33.5773275
"76",1,"BRYAN","TX",-96.3699632,30.6743643
"77",1,"BURLESON","TX",-97.3208492,32.5420821
"78",1,"CARRIZOSPRINGS","TX",-99.8606107,28.5219292
"79",1,"CARROLLTON","TX",-96.8899636,32.9756415
"80",1,"CEDARHILL","TX",-96.9561152,32.5884689
"81",1,"CENTERPOINT","TX",-87.077236,39.4169861
"82",1,"CHICAGOVIAPORTARTHUR","TX",-93.9877879,29.9810621
"83",1,"CINCORANCH","TX",-95.7580048,29.7388418
"84",1,"COLORADO","TX",-105.7820674,39.5500507
"85",1,"CONROE","TX",-95.4560512,30.3118769
"86",1,"COPPELL","TX",-97.0150078,32.9545687
"87",1,"CSTAT","TX",-96.3344068,30.627977
"88",1,"CURRENTCITY-SUGARLAND","TX",-95.5802734,29.5808016
"89",1,"DALLAS/AUSTIN/HOUSTON","TX",-96.8694802,32.8219484
"90",1,"DALLASCOUNTY","TX",-96.8350999,32.8024682
"91",1,"DAYTON","TX",-84.1916069,39.7589478
"92",1,"DFW","TX",-97.0403352,32.8998091
"93",1,"DOWNTOWNHTOWN","TX",-80.1153696,26.8894561
"94",1,"DRIFTWOOD","TX",-98.0315889,30.123275
"95",1,"DUMAS","TX",-101.9732236,35.8653789
"96",1,"DUNCANVILLE","TX",-96.9083366,32.6518004
"97",1,"EDINBURG","TX",-98.1633432,26.3017374
"98",1,"ERA","TX",-97.288073,33.4953886
"99",1,"FLOODEDAREASOFPASADENA","TX",-117.9353412,34.1069526
"100",1,"FRIENDSWOOD","TX",-95.2010447,29.5293998
"101",1,"FTWORTH","TX",-97.3307658,32.7554883
"102",1,"GALVESTON","TX",-94.7976958,29.3013479
"103",1,"GARLAND","TX",-96.6388833,32.912624
"104",1,"GEORGESTRAIT","TX",-106.0887608,31.4549681
"105",1,"GILMER","TX",-94.9424379,32.7287472
"106",1,"GRANBURY","TX",-97.7941967,32.4420826
"107",1,"GRAPEVINE","TX",-97.0780654,32.9342919
"108",1,"GROVES","TX",-81.1566727,32.1073449
"109",1,"HEADQUARTERSINHOUSTON","TX",-95.339075,29.7528697
"110",1,"HEATH","TX",-122.411597,37.761786
"111",1,"HELOTES","TX",-98.6897451,29.5780056
"112",1,"HEWITT","TX",-97.1958377,31.4623902
"113",1,"HIGHLANDVILLAGE","TX",-97.0466759,33.091788
"114",1,"HOUSTON/HUMBLE","TX",-95.2621553,29.9988312
"115",1,"HUNTSVILLE","TX",-86.5861037,34.7303688
"116",1,"HYRULE","TX",-91.1503169,30.6991887
"117",1,"JOHNSONCITY","TX",-82.3534727,36.3134397
"118",1,"KILGORE","TX",-94.8757709,32.3862619
"119",1,"KINGSVILLE","TX",-97.856109,27.5158689
"120",1,"KYLE","TX",-97.8772267,29.9891052
"121",1,"LEWISVILLE","TX",-96.994174,33.046233
"122",1,"LONGVIEW","TX",-94.7404891,32.5007037
"123",1,"MELISSA","TX",-96.5727669,33.2859472
"124",1,"MISSION","TX",-98.3252932,26.2159066
"125",1,"MISSOURICITY","TX",-95.5377215,29.6185669
"126",1,"NORTHRICHLANDHILLS","TX",-97.2289029,32.8342952
"127",1,"ORANGE","TX",-117.8531007,33.7879139
"128",1,"PARADISE","TX",-115.1466648,36.0971945
"129",1,"PFLUGERVILLE","TX",-97.6222665,30.4548451
"130",1,"REDWATER","TX",-94.2543607,33.3581802
"131",1,"RIOGRANDECITY","TX",-98.8203046,26.3797874
"132",1,"ROCKWALL","TX",-96.4597089,32.9312336
"133",1,"ROSENBERG","TX",-95.8085623,29.5571825
"134",1,"SANDIA","TX",-97.8798634,28.0213648
"135",1,"SEGUIN","TX",-97.9647269,29.5688411
"136",1,"SOUTHHOUSTON","TX",-95.2354902,29.663008
"137",1,"SOUTHLAKE","TX",-97.1341783,32.9412363
"138",1,"SWEENY","TX",-95.6985608,29.0388615
"139",1,"TAYLOR","TX",-83.2696509,42.240872
"140",1,"VIDOR","TX",-94.0154541,30.1316001
"141",1,"WHARTON","TX",-75.1961946,39.951859
"142",1,"WHITEOAK","TX",-81.7644495,30.7545173
"143",1,"WICHITAFALLS","TX",-98.4933873,33.9137085
"144",1,"WYLIE","TX",-96.5388789,33.0151201
"145",1,"GONZALES","LA",-90.9200987,30.2385294
"146",1,"HOLDEN","LA",-71.8634062,42.3517585
"147",1,"LITTLEBANGLADESH","LA",-118.2968774,34.0690781
"148",1,"METAIRIE","LA",-90.1528519,29.9840922
"149",1,"PONCHATOULA","LA",-90.4414762,30.4388041
"150",1,"SWARTZ","LA",-91.9851307,32.5687521
"151",1,"BRAINTREE","MA",-71.0040013,42.2079017
"152",1,"DANVERS","MA",-70.932122,42.5750009
"153",1,"FALLRIVER","MA",-71.1550451,41.7014912
"154",1,"HOLDEN","MA",-71.8634062,42.3517585
"155",1,"LOWELL","MA",-122.4833234,37.7306091
"156",1,"METHUEN","MA",-71.1908924,42.7262016
"157",1,"NEEDHAM","MA",-71.2377548,42.2809285
"158",1,"NORWOOD","MA",-71.1989695,42.1943909
"159",1,"PEABODY","MA",-70.9286609,42.5278731
"160",1,"PITTSFIELD","MA",-73.2453824,42.4500845
"161",1,"PLYMOUTH","MA",-70.6672621,41.9584457
"162",1,"SOMERVILLE","MA",-71.0994968,42.3875968
"163",1,"WATERTOWN","MA",-71.1828321,42.3709299
"164",1,"CARSONCITY","NV",-119.7674034,39.1637984
"165",1,"SPARKS","NV",-119.7526886,39.5349112
"166",1,"SUNRISEMANOR","NV",-115.0730563,36.2110819
